COURSE_ID,START_TIME,END_TIME,COURSE_NAME,DAYS,SEMESTER,INSTRUCTOR,CAPACITY
ACC101,11:00,12:20,Introduction to Money Counting ,"Tuesday, Thursday",Fall 2016,Emily Doe,23
ACC201,12:00,13:20,Money Saving,"Tuesday, Thursday",Fall 2016,Josephine Vuu,24
ACC301,13:00,14:20,Interest Rate,"Tuesday, Thursday",Fall 2016,Scarlett Luigini,30
ART101,8:00,9:20,Introduction to Stickman,"Monday, Wednesday",Fall 2016,Monet Gogh,20
ART201,9:00,10:20,Intermediate Stickman,"Monday, Wednesday",Fall 2016,Monet Gogh,25
ART301,10:00,11:20,Artisan Stickman,"Monday, Wednesday",Fall 2016,Van Pablo,21
BIO101,15:00,16:20,Cell Anatomy,"Wednesday, Friday",Fall 2016,Mendel Pasteur,25
BIO201,16:00,17:20,Human Anatomy ,"Wednesday, Friday",Fall 2016,Louis Darwin,25
BIO301,17:00,18:20,Alien Anatomy,"Wednesday, Friday",Fall 2016,Gregor Carson,24
CHE101,8:00,10:50,Periodic Table,Friday,Fall 2016,Marie Piere,23
CHE201,10:00,12:50,Bonding,Friday,Fall 2016,Mendel Pasteur,30
CHE301,12:00,14:50,Nuclear,Friday,Fall 2016,Dalton Curie,30
COM101,11:00,12:20,Introduction to Socialization,"Monday, Wednesday",Fall 2016,Kennedy Thomas,25
COM201,12:00,13:20,Introduction to Extraversion,"Monday, Wednesday",Fall 2016,Barrack Quincy,24
COM301,13:00,14:20,Introduction to Preach,"Monday, Wednesday",Fall 2016,John King,26
CS101,8:00,9:20,Introduction to Computer,"Tuesday, Thursday",Fall 2016,Bill Zuckerberg,27
CS201,9:00,10:20,Intermediate to Computer,"Tuesday, Thursday",Fall 2016,Steve Gate,28
CS301,10:00,11:20,Computer Overclocking,"Tuesday, Thursday",Fall 2016,Mark Job,29
ECO101,14:00,16:50,Good Exchange,Friday,Fall 2016,Karl Smith,20
ECO201,16:00,18:50,Good Production,Friday,Fall 2016,Adam Max,21
ECO301,7:00,9:50,Money Making,Friday,Fall 2016,Mark Nash,22
ENG101,14:00,15:20,Alphabet,"Monday, Wednesday",Fall 2016,William Austen,25
ENG201,15:00,16:20,Word,"Monday, Wednesday",Fall 2016,Scott Shakespeare,25
ENG301,16:00,17:20,Paragraph,"Monday, Wednesday",Fall 2016,Jane Fitzgerald ,26
FRN101,14:00,15:20,Bonjour,"Tuesday, Thursday",Fall 2016,Joan Descartes,26
FRN201,15:00,16:20,Comment allez vous,"Tuesday, Thursday",Fall 2016,Louis Robespierre,24
FRN301,16:00,17:20,Vive La France,"Tuesday, Thursday",Fall 2016,Marie Dumas,24
HIS101,8:00,9:20,Pre Cavemen,"Monday, Friday",Fall 2016,Ibn Herodotus,25
HIS201,9:00,10:20,Cavemen,"Monday, Friday",Fall 2016,Anna Racki,29
HIS301,10:00,11:20,Post Cavemen,"Monday, Friday",Fall 2016,Alexis Xenophon,30
MSC101,8:00,10:50,Do Re Mi,Tuesday,Fall 2016,Wolfgang Bach,25
MSC201,9:00,11:50,Introduction to Vocalization ,Tuesday,Fall 2016,Ludwig Brahms,26
MSC301,10:00,12:50,Bohemian Rhapsody,Tuesday,Fall 2016,Maurice Vivaldi,30
MTH101,8:00,9:20,Addition,"Tuesday, Friday",Fall 2016,Carl Boolean,28
MTH201,9:00,10:20,Pythagorean,"Tuesday, Friday",Fall 2016,Ada Gauss,27
MTH301,10:00,11:20,Fibonacci,"Tuesday, Friday",Fall 2016,Omar Pascal,21
PHY101,8:00,10:50,Matters ,Wednesday,Fall 2016,Nikola Einstein,25
PHY201,10:00,12:50,Antimatters,Wednesday,Fall 2016,Albert Hawking,26
